name,position,color,price,rent,rent_build_1,rent_build_2,rent_build_3,rent_build_4,rent_build_5,cost_build,card
Mediterranean Avenue,1,brown,60,2,10,30,90,160,250,50,
Baltic Avenue,3,brown,60,4,20,60,180,320,450,50,
Oriental Avenue,6,light blue,100,6,30,90,270,400,550,50,
Vermont Avenue,8,light blue,100,6,30,90,270,400,550,50,
Connecticut Avenue,9,light blue,120,8,40,100,300,450,600,50,
St. Charles Place,11,pink,140,10,50,150,450,625,750,100,
States Avenue,13,pink,140,10,50,150,450,625,750,100,
Virginia Avenue,14,pink,160,12,60,180,500,700,900,100,
St. James Place,16,orange,180,14,70,200,550,750,950,100,
Tennessee Avenue,18,orange,180,14,70,200,550,750,950,100,
New York Avenue,19,orange,200,16,80,220,600,800,1000,100,
Kentucky Avenue,21,red,220,18,90,250,700,875,1050,150,
Indiana Avenue,23,red,220,18,90,250,700,875,1050,150,
Illinois Avenue,24,red,240,20,100,300,750,925,1100,150,
Atlantic Avenue,26,yellow,260,22,110,330,800,975,1150,150,
Ventnor Avenue,27,yellow,260,22,110,330,800,975,1150,150,
Marvin Gardens,29,yellow,280,24,120,360,850,1025,1200,150,
Pacific Avenue,31,green,300,26,130,390,900,1100,1275,200,
North Carolina Avenue,32,green,300,26,130,390,900,1100,1275,200,
Pennsylvania Avenue,34,green,320,28,150,450,1000,1200,1400,200,
Park Place,37,blue,350,35,175,500,1100,1300,1500,200,
Boardwalk,39,blue,400,50,200,600,1400,1700,2000,200,
